и,and
хуже,worse
пар,steam
старинный,ancient
сухой,dry
колесо,wheel
свежий,fresh
участник,participant
чей,whose
выражение,expression
детство,childhood
доллар,dollar
коридор,corridor
бомба,bomb
кресло,armchair
погода,weather
сравнение,comparison
танец,dance
обстоятельство,circumstance
творческий,creative
торговля,trade
всюду,everywhere
журналист,journalist
противоречие,contradiction
резкий,sharp
сомнение,doubt
труба,pipe
тюрьма,prison
внимательно,attentively
порог,threshold
просьба,request
университет,university
академик,academician
битва,battle
взрослый,adult
капля,drop
непонятный,incomprehensible
нижний,lower
прогресс,progress
пункт,point
редкий,rare
уважение,respect
ужас,horror
цветной,coloured
шар,sphere
дама,lady
демократия,democracy
деревянный,wooden
истина,truth
любимый,favourite
поведение,behaviour
рукав,sleeve
соединённый,united
фамилия,surname
активный,active
библиотека,library
печка,stove
планета,planet
понятный,comprehensible
правило,rule
прозрачный,transparent
шутка,joke
авторитет,authority
видный,eminent
внезапно,suddenly
двенадцать,twelve
звук,sound
низко,low
острый,sharp
полоса,strip
середина,middle
агрессия,aggression
зло,evil
кругом,around
нередко,often
поддержка,support
подъём,rise
проект,project
сообщение,communication
сосед,neighbour
твёрдо,firmly
англичанин,Englishman
во-вторых,secondly
восток,east
запах,smell
карандаш,pencil
корова,cow
краска,paint
май,May
передача,transmission
горизонт,horizon
минутка,moment
расстояние,distance
север,north
традиция,tradition
фраза,phrase
чемодан,suitcase
голый,naked
оборудование,equipment
спорт,sport
успешно,successfully
фильм,film
дисциплина,discipline
изображение,depiction
несомненно,undoubtedly
примерно,approximately
талант,talent
величина,size
зеркало,mirror
крыло,wing
папироса,cigarette
платье,dress
пушка,cannon
получение,receiving
приятно,pleasant
посёлок,settlement
потеря,loss
пожар,fire
сердито,angrily
тесный,tight
экзамен,examination
болото,marsh
капиталист,capitalist
крепкий,strong
музыкальный,musical
организм,organism
остаток,remainder
привычка,habit
соглашение,agreement
спор,argument
увеличение,increase
ужасно,terribly
урожай,harvest
ценный,valuable
борода,beard
пища,food
телеграмма,telegram
транспорт,transport
бык,bull
меньший,smaller
неожиданный,unexpected
официальный,official
охотник,hunter
понимание,understanding
профессия,profession
сооружение,construction
сторож,watchman
тревога,alarm
белоснежный,snow-white
бутылка,bottle
давление,pressure
запад,west
колебание,hesitation
механический,mechanical
подлинный,genuine
превращение,conversion
верховный,supreme
взаимный,mutual
инициатива,initiative
лекция,lecture
мокрый,wet
моральный,moral
опытный,experienced
отсутствие,absence
пятнадцать,fifteen
реакция,reaction
сказка,fairy-tale
чудесный,wonderful
бурный,stormy
купец,merchant
лёд,ice
мороз,frost
оборона,defence
освобождение,liberation
знак,sign
масштаб,scale
присутствие,presence
пустяк,trifle
пятно,spot
рождение,birth
сопротивление,resistance
ужасный,terrible
флаг,flag
атака,attack
двое,two
европейский,European
крестьянство,peasantry
ничтожный,worthless
норма,norm
отчего,why
патриот,patriot
пропаганда,propaganda
пулемёт,machine-gun
соревнование,competition
командир,commander
единство,unity
президиум,presidium
дикий,wild
сумма,sum
социализм,socialism
женский,female
искусственный,artificial
конференция,conference
куст,bush
мозг,brain
нация,nation
непрерывный,uninterrupted
самовар,samovar
шёпот,whisper
абсолютный,absolute
выигрыш,win
жестокий,cruel
неизвестный,unknown
пустыня,desert
суровый,harsh
ус,whisker
чемпион,champion
билет,ticket
везде,everywhere
великолепный,magnificent
грех,sin
грязный,dirty
изготовление,manufacture
критика,criticism
пожилой,elderly
полиция,police
рыжий,red-haired
сахар,sugar
благородный,noble
вино,wine
лично,personally
экспедиция,expedition
вооружённый,armed
выстрел,shot
жертва,victim
животное,animal
информация,information
концерт,concert
костёр,bonfire
крайне,extremely
механизм,mechanism
многочисленный,numerous
объяснение,explanation
переворот,coup
перо,feather
поворот,turn
позади,behind
распределение,distribution
свеча,candle
секрет,secret
скучно,boring
список,list
сфера,sphere
актёр,actor
арест,arrest
бытие,existence
вкус,taste
достаточный,sufficient
крест,cross
медицинский,medical
механик,mechanic
му?ка,torment
мука?,flour
напряжение,tension
нормальный,normal
печальный,sad
рассвет,daybreak
голод,hunger
доверие,trust
драгоценный,valuable
наблюдение,observation
перестройка,restructuring
преимущество,advantage
приятный,pleasant
редко,rarely
соответствующий,corresponding
хвост,tail
чрезвычайно,extremely
агрессивный,aggressive
естественно,naturally
любопытство,curiosity
непосредственно,immediately
нигде,nowhere
ответственный,responsible
отличный,excellent
решительный,decisive
рынок,market
сплошной,continuous
удивительно,surprisingly
шестьдесят,sixty
арена,arena
далее,further
кто-нибудь,anyone
рубашка,shirt
тьма,darkness
благоприятный,favourable
домашний,domestic
дыхание,breathing
колокол,bell
невидимый,invisible
обязательство,pledge
сравнительно,comparatively
теоретический,theoretical
агроном,agronomist
восточный,eastern
заметно,noticeably
коренной,fundamental
мясо,meat
надёжный,reliable
одинаковый,identical
памятник,monument
подход,approach
помещик,landowner
появление,appearance
талантливый,talented
технология,technology
фактор,factor
агент,agent
вариант,variant
выбор,choice
гул,rumble
забор,fence
континент,continent
копейка,kopeck
лозунг,slogan
невольно,unintentionally
незаметно,imperceptibly
несчастный,unhappy
пассажир,passenger
раб,slave
роза,rose
сигнал,signal
стук,knock
фантастический,fantastic
ярко,brightly
бесконечно,endlessly
буквально,literally
выгодный,advantageous
грандиозный,grandiose
ласково,affectionately
любопытный,curious
одежда,clothes
отъезд,departure
практически,practically
прогрессивный,progressive
славный,glorious
автоматический,automatic
активно,actively
вредный,harmful
десятилетие,decade
достойный,worthy
жест,gesture
исключение,exception
ледяной,icy
муха,fly
обязанный,obliged
потолок,ceiling
проклятый,damned
самостоятельный,independent
союзник,ally
тарелка,plate
топливо,fuel
удивление,surprise
холм,hill
безусловно,undoubtedly
больница,hospital
восторг,delight
горло,throat
доход,income
конечный,final
корзина,basket
непрерывно,continuously
обсуждение,discussion
палка,stick
перемена,change
прочь,away
священник,priest
совершенный,perfect
фантазия,imagination
вина,guilt
воскресенье,Sunday
впоследствии,subsequently
гостиница,hotel
звено,link
командование,command
крепостной,serf
логика,logic
независимый,independent
пиджак,jacket
полка,shelf
поэтический,poetic
преступление,crime
ранний,early
расход,expenditure
серия,series
целиком,entirely
август,August
бесполезный,useless
бесчисленный,innumerable
бледный,pale
внизу,below
нападение,attack
напряжённый,tense
никуда,nowhere
одинокий,solitary
поздний,late
полоска,strip
раненый,wounded
скорый,fast
столетие,century
финансовый,financial
экран,screen
бесцветный,colourless
биография,biography
блеск,shine
воображение,imagination
грозный,threatening
домик,cottage
закат,sunset
кукла,doll
называемый,called
нарочно,deliberately
пуля,bullet
рубаха,shirt
стимул,stimulus
сумасшедший,mad
умение,ability
чтение,reading
верх,top
внезапный,sudden
вслух,aloud
гордый,proud
горький,bitter
делегат,delegate
дешёвый,cheap
длительный,lengthy
естественный,natural
заяц,hare
луг,meadow
мгновение,moment
незнакомый,unfamiliar
нерв,nerve
оценка,assessment
поэзия,poetry
предыдущий,preceding
разрушение,destruction
ресурс,resource
удовлетворение,satisfaction
агрессор,aggressor
ведро,bucket
выставка,exhibition
доказательство,proof
зона,zone
игрок,player
исключительный,exceptional
настойчиво,insistently
неловко,awkwardly
обмен,exchange
окружающий,surrounding
отказ,refusal
откровенно,frankly
привычный,customary
различие,difference
склон,slope
сохранение,preservation
топор,axe
тщательно,thoroughly
угрюмо,gloomily
упорный,persistent
шкаф,cupboard
юг,south
балкон,balcony
бокал,wineglass
всерьёз,seriously
вход,entrance
гроб,coffin
действующий,functioning
делегация,delegation
десятый,tenth
заметный,noticeable
защитник,defender
звон,ringing
какой-либо,any
кандидат,candidate
кирпич,brick
краткий,short
куча,heap
лидер,leader
ложка,spoon
минувший,past
невозможный,impossible
нитка,thread
окончательный,final
отчаяние,despair
охотно,willingly
пасха,Easter
по-видимому,seemingly
препятствие,obstacle
природный,natural
происхождение,origin
благодарный,grateful
в-третьих,thirdly
гений,genius
героический,heroic
классический,classical
климат,climate
марш,march
недавний,recent
неизбежно,inevitably
неподвижный,motionless
освещение,illumination
продолжение,continuation
публика,public
разница,difference
свинья,pig
скромный,modest
слегка,slightly
снижение,lowering
сочетание,combination
тряпка,rag
философский,philosophical
царство,kingdom
величие,greatness
голодный,hungry
громкий,loud
дважды,twice
ежегодно,annually
изредка,occasionally
манера,manner
несчастье,misfortune
оркестр,orchestra
откровенный,frank
предположение,supposition
равенство,equality
смирно,quietly
специально,specially
стрела,arrow
успешный,successful
учебный,educational
яблоко,apple
бедствие,disaster
ближний,near
введение,introduction
девица,girl
дневник,diary
дружественный,friendly
истинный,true
кризис,crisis
милиция,police
молния,lightning
намерение,intention
отчёт,report
повышенный,raised
политик,politician
почётный,respected
пыльный,dusty
свадьба,wedding
сладкий,sweet
скука,boredom
суббота,Saturday
таинственный,mysterious
ущерб,damage
хитрый,cunning
честно,honestly
буфет,snackbar
быстрота,speed
зарубежный,foreign
империя,empire
категория,category
монета,coin
мышление,thinking
подходящий,suitable
рабство,slavery
радостно,joyfully
сантиметр,centimetre
скот,cattle
тактика,tactics
уверенно,confidently
холод,cold
эффект,effect
бельё,linen
берёза,birch
бородатый,bearded
возмущение,indignation
где-нибудь,anywhere
горшок,pot
гроза,thunderstorm
грустный,sad
единица,unit
жадный,greedy
занавеска,curtain
испуганно,fearfully
медленный,slow
нарядный,well-dressed
неизбежный,inevitable
плата,payment
положительный,positive
прокурор,prosecutor
просторный,spacious
разумный,sensible
рамка,frame
расширение,expansion
сверкающий,sparkling
семнадцать,seventeen
табак,tobacco
фон,background
четырнадцать,fourteen
больший,bigger
вдвое,double
ветка,branch
владёлец,owner
волк,wolf
гнев,anger
иллюзия,illusion
мягко,softly
обломок,fragment
одеяло,blanket
осколок,splinter
поражение,defeat
праздничный,festive
рубеж,boundary
сарай,shed
современник,contemporary
сок,juice
структура,structure
стыд,shame
угнетённый,oppressed
философ,philosopher
аудитория,auditorium
временный,temporary
глупо,stupidly
долина,valley
дополнительный,additional
жалкий,pitiful
искренний,sincere
килограмм,kilogram
крыса,rat
неприятный,unpleasant
смело,boldly
фашизм,Fascism
беспощадный,merciless
брошюра,brochure
бугор,mound
дуб,oak
закрытый,closed
лопата,spade
магнитофон,tape-recorder
мужество,courage
награда,reward
необыкновенный,unusual
овца,sheep
падение,fall
поистине,indeed
пот,sweat
пребывание,stay
пристально,fixedly
разнообразие,variety
религия,religion
родственник,relative
скамейка,bench
совершенствование,improvement
сокровище,treasure
сплошь,completely
существующий,existing
толщина,thickness
ужин,supper
чашка,cup
чепуха,nonsense
вклад,contribution
временно,temporarily
годовой,yearly
доступный,accessible
китайский,Chinese
корм,fodder
кровавый,bloody
крышка,lid
нравственный,moral
объединённый,united
окраина,outskirts
описание,description
остановка,stop
очевидный,obvious
патрон,cartridge
пенсия,pension
плен,captivity
плоский,flat
плотно,tightly
реклама,advertisement
скамья,bench
скучный,boring
собор,cathedral
торопливо,hastily
убитый,killed
якобы,allegedly
аллея,avenue
баня,bath-house
бурый,greyish-brown
величественный,majestic
возвращение,return
гриб,mushroom
девятый,ninth
еда,food
жестоко,cruelly
за?мок,castle
замо?к,lock
идеал,ideal
ковёр,carpet
колоссальный,colossal
куда-то,somewhere
наивный,naive
неведомый,unknown
пение,singing
планирование,planning
повар,cook
полёт,flight
последствие,consequence
приблизительно,approximately
рана,wound
слепой,blind
трактор,tractor
германский,Germanic
лаборатория,laboratory
казак,Cossack
металл,metal
эксплуатация,exploitation
колонна,column
рыбак,fisherman
завоевание,conquest
слышный,audible
срочно,urgently
ссора,quarrel
ступенька,step
бессмертный,immortal
веселье,merriment
внучка,granddaughter
воин,warrior
изобретение,invention
катастрофа,disaster
легенда,legend
летучий,flying
обильный,abundant
отечество,fatherland
памятный,memorable
патриотический,patriotic
подлец,scoundrel
приезд,arrival
протест,protest
разноцветный,many-coloured
редактор,editor
сухо,drily
тревожно,anxiously
юный,young
взаимоотношение,interrelation
восемьдесят,eighty
выгода,advantage
досада,annoyance
дьявол,devil
жаркий,hot
забытый,forgotten
загрязнение,pollution
искра,spark
искренне,sincerely
куда-нибудь,anywhere
молитва,prayer
молчаливый,taciturn
монах,monk
наверх,upwards
обслуживание,service
одинаково,identically
одиннадцать,eleven
организатор,organizer
полотенце,towel
поразительный,astonishing
постройка,building
преступник,criminal
привет,greeting
продажа,sale
растущий,growing
удачный,successful
башня,tower
безработица,unemployment
гнездо,nest
дорого,dearly
испуганный,frightened
кривой,squint
наличие,presence
обвинение,accusation
обычай,custom
обязательный,compulsory
ого,oho!
отражение,reflection
ресторан,restaurant
соответствие,accordance
срочный,urgent
схема,diagram
счастливо,happily
традиционный,traditional
тысячелетие,millennium
уважаемый,respected
широта,width
беспорядочный,disorderly
благополучие,well-being
вековой,centuries-old
восстановление,restoration
гром,thunder
дружеский,friendly
жажда,thirst
заведение,institution
законный,legal
затрата,expense
клевета,slander
коробка,box
лекарство,medicine
миг,moment
немалый,considerable
неправильно,incorrectly
неправильный,incorrect
нищета,poverty
общежитие,hostel
определение,definition
очаг,hearth
повсюду,everywhere
пустота,emptiness
свободно,freely
текст,text
убийство,murder
убыток,loss
упражнение,exercise
цивилизация,civilization
чин,rank
автобус,bus
бесспорно,indisputably
бесстрашный,fearless
вспышка,flash
гладкий,smooth
грубо,coarsely
двадцатый,twentieth
завтрак,breakfast
замечание,remark
недоступный,inaccessible
независимо,independently
неясный,unclear
ограниченный,limited
пиво,beer
побережье,coast
противный,disgusting
пышный,luxuriant
разбитый,broken
слабо,weakly
сладко,sweetly
сторонник,supporter
типичный,typical
босой,barefoot
вольный,free
воротник,collar
дата,date
единственно,only
игрушка,toy
коллективный,collective
контора,office
маршрут,route
наружу,outside
невиданный,unprecedented
недостаточный,insufficient
незначительный,insignificant
необычный,unusual
нервный,nervous
опора,support
отдельно,separately
отрицательный,negative
отчаянный,desperate
песенка,song
претензия,claim
риск,risk
рама,frame
скрытый,hidden
согласие,agreement
страдание,suffering
сходство,similarity
упрямо,stubbornly
частый,frequent
яйцо,egg
ветерок,breeze
мелодия,melody
химия,chemistry
тенденция,tendency
застой,stagnation
административный,administrative
большевик,Bolshevik
хозяйственный,economic
химический,chemical
фашист,Fascist
металлический,metallic
резерв,reserve
винтовка,rifle
атом,atom
конструкция,construction
органический,organic
материя,matter
фундамент,foundation
строение,construction
гвардия,Guards
пистолет,pistol
социалистический,socialist
артиллерия,artillery
ядерный,nuclear
буржуазный,bourgeois
партизан,partisan
технологический,technological
физика,physics
геолог,geologist
диктатура,dictatorship
академический,academic
солома,straw
соперник,rival
таковой,such
телеграф,telegraph
формирование,formation
авиация,aviation
актуальный,topical
аристократия,aristocracy
баржа,barge
батальон,battalion
бетон,concrete
конституция,constitution
листва,foliage
обыкновенно,usually
проволока,wire
путешественник,traveller
функция,function
агентство,agency
бульвар,avenue
курица,hen
взаимодействие,interaction
взволнованно,anxiously
вздох,sigh
влажный,damp
дар,gift
дипломатический,diplomatic
дистанция,distance
драма,drama
жених,fianc?
идеологический,ideological
индустрия,industry
инструкция,instructions
карьера,career
конкурс,competition
кот,tomcat
мрамор,marble
няня,nurse
паспорт,passport
подбородок,chin
подвода,cart
поперечный,transverse
популярный,popular
последовательно,consistently
разделение,division
рай,paradise
родня,relatives
серебро,silver
соседство,vicinity
сосна,pine-tree
угнетение,oppression
узор,pattern
украинский,Ukrainian
уникальный,unique
устойчивый,stable
эксперимент,experiment
построение,construction
разбойник,brigand
статуя,statue
близнец,twin
рельс,rail
реформа,reform
теплота,warmth
трение,friction
установление,establishment
языковой,linguistic
диаметр,diameter
дореволюционный,pre-revolutionary
компас,compass
накопление,accumulation
парадокс,paradox
полковник,colonel
глина,clay
производительный,productive
пуговица,button
мельница,mill
букет,bouquet
окоп,trench
сезон,season
животноводство,stock-raising
стрельба,shooting
гонка,race
прислуга,servants
вдова,widow
психологический,psychological
француз,Frenchman
лейтенант,lieutenant
машинист,engine-driver
лунный,lunar
комплекс,complex
композитор,composer
воробей,sparrow
плакат,poster
револьвер,revolver
ферма,farm
братство,brotherhood
деление,division
сенатор,senator
первичный,primary
погон,shoulder-strap
посев,sowing
груша,pear
жила,vein
стадо,herd
барыня,lady
идиот,idiot
кладбище,cemetery
бухта,bay
козёл,goat
император,emperor
полярный,polar
земледелие,agriculture
песчаный,sandy
пехота,infantry
залив,bay
механизация,mechanization
конгресс,congress
огурец,cucumber
посол,ambassador
ветеран,veteran
воинский,military
порошок,powder
аппаратура,apparatus
декрет,decree
плотина,dam
ранг,rank
безумие,madness
бессмертие,immortality
идеология,ideology
питательный,nourishing
окраска,colouring
архитектура,architecture
зрительный,visual
турнир,tournament
причал,mooring
шторм,gale
рюмка,wineglass
крючок,hook
химик,chemist
ваза,vase
сотрудничество,collaboration
физик,physicist
спортсмен,sportsman
архитектурный,architectural
коллекция,collection
миролюбивый,peace-loving
автоматизация,automation
вулкан,volcano
старец,elder
адмирал,admiral
охлаждение,cooling
социалист,socialist
видение,vision
кислород,oxygen
пещера,cave
равнина,plain
продолжительный,prolonged
водохранилище,reservoir
чемпионат,championship
сердитый,angry
ассортимент,assortment
барабан,drum
грешный,sinful
доброволец,volunteer
допрос,interrogation
заманчивый,tempting
клад,treasure
компьютер,computer
коричневый,brown
купол,cupola
миллиметр,millimetre
младенец,baby
насквозь,through
небрежно,carelessly
нелепый,absurd
необычайный,exceptional
нетерпеливо,impatiently
обрыв,precipice
опасно,dangerously
опера,opera
орошение,irrigation
откос,slope
палач,executioner
парижский,Parisian
пейзаж,landscape
перегрузка,overload
переплёт,binding
пожелание,wish
почин,initiative
провод,wire
простота,simplicity
прочно,solidly
рассеянный,absent-minded
робко,timidly
свист,whistling
сев,sowing
скандал,scandal
советник,adviser
спокойствие,calmness
сражение,battle
стадион,stadium
татарин,Tatar
усиление,strengthening
чудовищный,monstrous
шумный,noisy
эра,era
эффективный,effective
адвокат,lawyer
архитектор,architect
блокнот,notepad
веко,eyelid
внук,grandson
вор,thief
встречный,oncoming
глухо,indistinctly
жёсткий,harsh
заблуждение,delusion
загадочный,mysterious
заговор,plot
задумчивый,thoughtful
заработок,earnings
излишний,superfluous
изобилие,abundance
икона,icon
индивидуальный,individual
индустриальный,industrial
капелька,droplet
количественный,quantitative
конфликт,conflict
контакт,contact
корреспонденция,correspondence
максимальный,maximal
мундир,uniform
настойчивый,insistent
находка,find
неоднократно,repeatedly
орех,nut
паника,panic
плотник,carpenter
презрение,scorn
преимущественно,primarily
приход,arrival
рекорд,record
семьдесят,seventy
сено,hay
ситуация,situation
сияние,radiance
тощий,emaciated
труп,corpse
упорно,persistently
формула,formula
хло?пок,cotton
цикл,cycle
экспериментальный,experimental
анархия,anarchy
вольно,freely
восемнадцать,eighteen
вредно,harmful
вынужденный,forced
географический,geographical
гитара,guitar
горка,hillock
девяносто,ninety
демонстрация,demonstration
достояние,property
завершение,completion
законодательство,legislation
зрелище,spectacle
иголка,needle
изложение,exposition
историк,historian
клин,wedge
манёвр,manoeuvre
математика,mathematics
недоумение,bewilderment
неловкий,awkward
ограда,fence
определённо,definitely
оригинальный,original
отцовский,paternal
позор,disgrace
поляк,Pole
преодоление,overcoming
приглашение,invitation
прикосновение,contact
прыжок,jump
религиозный,religious
робкий,timid
самостоятельно,independently
состязание,competition
убеждённый,convinced
усердно,conscientiously
устало,wearily
ух,ooh!
холодильник,refrigerator
частота,frequency
чердак,attic
экскурсия,excursion
юбка,skirt
ястреб,hawk
авангард,vanguard
бесспорный,indisputable
взвод,platoon
вкусный,tasty
грамотный,literate
дискуссия,discussion
дрожащий,trembling
желудок,stomach
засуха,drought
затруднение,difficulty
значок,badge
изумительный,amazing
изящный,elegant
карточка,card
коалиция,coalition
комментарий,commentary
маска,mask
наибольший,largest
насмешка,taunt
неизменно,invariably
немедленный,immediate
необыкновенно,unusually
нетерпение,impatience
неудача,failure
одобрение,approval
отважный,courageous
палатка,tent
пена,foam
первобытный,primitive
платформа,platform
повседневный,everyday
покупка,purchase
полночь,midnight
проза,prose
психология,psychology
пятница,Friday
репутация,reputation
силуэт,silhouette
совместно,jointly
содружество,commonwealth
сурово,severely
техник,technician
тоненький,slim
трус,coward
украшение,decoration
упрёк,reproach
усталый,tired
факультет,faculty
электричество,electricity
яблоня,apple-tree
абстрактный,abstract
агитация,agitation
администрация,administration
бережно,carefully
великан,giant
венгерский,Hungarian
волшебный,magic
враждебный,hostile
вред,harm
геологический,geological
гнёт,oppression
демократ,democrat
духовенство,clergy
жадно,greedily
замена,replacement
заново,anew
знаток,expert
ирония,irony
колония,colony
конфета,sweet
кто-либо,anyone
лапа,paw
ловушка,trap
любопытно,curiously
материк,mainland
налог,tax
национализм,nationalism
негодяй,rascal
недоверие,mistrust
ненужный,unnecessary
непререкаемый,unquestionable
новинка,novelty
образованный,educated
отныне,henceforth
отчаянно,desperately
официант,waiter
патриотизм,patriotism
переписка,correspondence
погреб,cellar
подсчёт,calculation
поправка,correction
превосходство,superiority
провокация,provocation
пророк,prophet
